Name,Nation,Gender,Event,QualifiedBy,EventId
Sanique WALKER,JAM,W,Women's 400 Metres Hurdles,Qualified by World Rankings,10229523
Cathelijn PEETERS,NED,W,Women's 400 Metres Hurdles,Qualified by World Rankings,10229523
Cassandra TATE,USA,W,Women's 400 Metres Hurdles,Qualified by World Rankings,10229523
Anna GRYC,POL,W,Women's 400 Metres Hurdles,Qualified by World Rankings,10229523
Moa GRANAT,SWE,W,Women's 400 Metres Hurdles,Qualified by World Rankings,10229523
Sára MÁTÓ,HUN,W,Women's 400 Metres Hurdles,Qualified by World Rankings,10229523
Alanah YUKICH,AUS,W,Women's 400 Metres Hurdles,Qualified by World Rankings,10229523
Rebecca SARTORI,ITA,W,Women's 400 Metres Hurdles,Qualified by World Rankings,10229523
Hilla UUSIMÄKI,FIN,W,Women's 400 Metres Hurdles,Qualified by World Rankings,10229523
Ashley MILLER,ZIM,W,Women's 400 Metres Hurdles,Qualified by World Rankings,10229523
Kristiina HALONEN,FIN,W,Women's 400 Metres Hurdles,Qualified by World Rankings,10229523
Daniela FRA,ESP,W,Women's 400 Metres Hurdles,Qualified by World Rankings,10229523
Winfred YAVI,BRN,W,Women's 3000 Metres Steeplechase,Qualified by Wild Card,10229524
Peruth CHEMUTAI,UGA,W,Women's 3000 Metres Steeplechase,Qualified by Entry Standard,10229524
Faith CHEROTICH,KEN,W,Women's 3000 Metres Steeplechase,Qualified by Entry Standard,10229524
Doris LEMNGOLE,KEN,W,Women's 3000 Metres Steeplechase,Qualified by Entry Standard,10229524
Alice FINOT,FRA,W,Women's 3000 Metres Steeplechase,Qualified by Entry Standard,10229524
Norah JERUTO,KAZ,W,Women's 3000 Metres Steeplechase,Qualified by Entry Standard,10229524
Sembo ALMAYEW,ETH,W,Women's 3000 Metres Steeplechase,Qualified by Entry Standard,10229524
Beatrice CHEPKOECH,KEN,W,Women's 3000 Metres Steeplechase,Qualified by Entry Standard,10229524
Elizabeth BIRD,GBR,W,Women's 3000 Metres Steeplechase,Qualified by Entry Standard,10229524
Valerie CONSTIEN,USA,W,Women's 3000 Metres Steeplechase,Qualified by Entry Standard,10229524
Marwa BOUZAYANI,TUN,W,Women's 3000 Metres Steeplechase,Qualified by Entry Standard,10229524
Lomi MULETA,ETH,W,Women's 3000 Metres Steeplechase,Qualified by Entry Standard,10229524
Gabrielle JENNINGS,USA,W,Women's 3000 Metres Steeplechase,Qualified by Entry Standard,10229524
Alemnat WALLE,ETH,W,Women's 3000 Metres Steeplechase,Qualified by Entry Standard,10229524
Kaylee MITCHELL,USA,W,Women's 3000 Metres Steeplechase,Qualified by Entry Standard,10229524
Lexy HALLADAY,USA,W,Women's 3000 Metres Steeplechase,Qualified by Entry Standard,10229524
Courtney WAYMENT,USA,W,Women's 3000 Metres Steeplechase,Qualified by Entry Standard,10229524
Gesa Felicitas KRAUSE,GER,W,Women's 3000 Metres Steeplechase,Qualified by Entry Standard,10229524
Lea MEYER,GER,W,Women's 3000 Metres Steeplechase,Qualified by Entry Standard,10229524
Irene SÁNCHEZ-ESCRIBANO,ESP,W,Women's 3000 Metres Steeplechase,Qualified by Entry Standard,10229524
Angelina NAPOLEON,USA,W,Women's 3000 Metres Steeplechase,Qualified by Entry Standard,10229524
Kristlin GEAR,USA,W,Women's 3000 Metres Steeplechase,Qualified by Entry Standard,10229524
Parul CHAUDHARY,IND,W,Women's 3000 Metres Steeplechase,Qualified by Entry Standard,10229524
Olivia MARKEZICH,USA,W,Women's 3000 Metres Steeplechase,Qualified by Entry Standard,10229524
Elise THORNER,GBR,W,Women's 3000 Metres Steeplechase,Qualified by Entry Standard,10229524
Olivia GÜRTH,GER,W,Women's 3000 Metres Steeplechase,Qualified by Entry Standard,10229524
Pamela KOSGEI,KEN,W,Women's 3000 Metres Steeplechase,Qualified by Entry Standard,10229524
Alicja KONIECZEK,POL,W,Women's 3000 Metres Steeplechase,Qualified by Entry Standard,10229524
Flavie RENOUARD,FRA,W,Women's 3000 Metres Steeplechase,Qualified by Entry Standard,10229524
Cara FEAIN-RYAN,AUS,W,Women's 3000 Metres Steeplechase,Qualified by World Rankings,10229524
Daisy JEPKEMEI,KAZ,W,Women's 3000 Metres Steeplechase,Qualified by World Rankings,10229524
Wosane ASEFA,ETH,W,Women's 3000 Metres Steeplechase,Qualified by World Rankings,10229524
Kinga KRÓLIK,POL,W,Women's 3000 Metres Steeplechase,Qualified by World Rankings,10229524
Grace FETHERSTONHAUGH,CAN,W,Women's 3000 Metres Steeplechase,Qualified by World Rankings,10229524
Angelina ELLIS,USA,W,Women's 3000 Metres Steeplechase,Qualified by World Rankings,10229524
Ilona MONONEN,FIN,W,Women's 3000 Metres Steeplechase,Qualified by World Rankings,10229524
Loice CHEKWEMOI,UGA,W,Women's 3000 Metres Steeplechase,Qualified by World Rankings,10229524
Stella RUTTO,ROU,W,Women's 3000 Metres Steeplechase,Qualified by World Rankings,10229524
Rihab DHAHRI,TUN,W,Women's 3000 Metres Steeplechase,Qualified by World Rankings,10229524
Celestine Jepkosgei BIWOT,KEN,W,Women's 3000 Metres Steeplechase,Qualified by World Rankings,10229524
Sarah TAIT,GBR,W,Women's 3000 Metres Steeplechase,Qualified by World Rankings,10229524
Marta SERRANO,ESP,W,Women's 3000 Metres Steeplechase,Qualified by World Rankings,10229524
Adva COHEN,ISR,W,Women's 3000 Metres Steeplechase,Qualified by World Rankings,10229524
Sophie NOVAK,USA,W,Women's 3000 Metres Steeplechase,Qualified by World Rankings,10229524
ANKITA,IND,W,Women's 3000 Metres Steeplechase,Qualified by World Rankings,10229524
Tatiane Raquel DA SILVA,BRA,W,Women's 3000 Metres Steeplechase,Qualified by World Rankings,10229524
Yaroslava MAHUCHIKH,UKR,W,Women's High Jump,Qualified by Wild Card,10229526
Nicola OLYSLAGERS,AUS,W,Women's High Jump,Qualified by Entry Standard,10229526
Christina HONSEL,GER,W,Women's High Jump,Qualified by Entry Standard,10229526
Eleanor PATTERSON,AUS,W,Women's High Jump,Qualified by Entry Standard,10229526
Maria ŻODZIK,POL,W,Women's High Jump,Qualified by Entry Standard,10229526
Rachel GLENN,USA,W,Women's High Jump,Qualified by Entry Standard,10229526
Yuliia LEVCHENKO,UKR,W,Women's High Jump,Qualified by Entry Standard,10229526
Imke ONNEN,GER,W,Women's High Jump,Qualified by Entry Standard,10229526
Temitope Simbiat ADESHINA,NGR,W,Women's High Jump,Qualified by Entry Standard,10229526
Vashti CUNNINGHAM,USA,W,Women's High Jump,Qualified by Entry Standard,10229526
Merel MAES,BEL,W,Women's High Jump,Qualified by Entry Standard,10229526
Iryna GERASHCHENKO,UKR,W,Women's High Jump,Qualified by World Rankings,10229526
Angelina TOPIĆ,SRB,W,Women's High Jump,Qualified by World Rankings,10229526
Morgan LAKE,GBR,W,Women's High Jump,Qualified by World Rankings,10229526
Elena KULICHENKO,CYP,W,Women's High Jump,Qualified by World Rankings,10229526
Safina SADULLAYEVA,UZB,W,Women's High Jump,Qualified by World Rankings,10229526
Engla NILSSON,SWE,W,Women's High Jump,Qualified by World Rankings,10229526
Lamara DISTIN,JAM,W,Women's High Jump,Qualified by World Rankings,10229526
Charity HUFNAGEL,USA,W,Women's High Jump,Qualified by World Rankings,10229526
Kateryna TABASHNYK,UKR,W,Women's High Jump,Qualified by World Rankings,10229526
Michaela HRUBÁ,CZE,W,Women's High Jump,Qualified by World Rankings,10229526
Sanaa BARNES,USA,W,Women's High Jump,Qualified by World Rankings,10229526
Tatiana GKOUSIN,GRE,W,Women's High Jump,Qualified by World Rankings,10229526
Buse SAVAŞKAN,TUR,W,Women's High Jump,Qualified by World Rankings,10229526
Idea PIERONI,ITA,W,Women's High Jump,Qualified by World Rankings,10229526
Marija VUKOVIĆ,MNE,W,Women's High Jump,Qualified by World Rankings,10229526
Solène GICQUEL,FRA,W,Women's High Jump,Qualified by World Rankings,10229526
Nagisa TAKAHASHI,JPN,W,Women's High Jump,Qualified by World Rankings,10229526
Lia APOSTOLOVSKI,SLO,W,Women's High Jump,Qualified by World Rankings,10229526
Rose Amoanimaa YEBOAH,GHA,W,Women's High Jump,Qualified by World Rankings,10229526
Ella JUNNILA,FIN,W,Women's High Jump,Qualified by World Rankings,10229526
Dacsy Adelina BRISÓN,CUB,W,Women's High Jump,Qualified by World Rankings,10229526
Una STANCEV,ESP,W,Women's High Jump,Qualified by World Rankings,10229526
Asia TAVERNINI,ITA,W,Women's High Jump,Qualified by World Rankings,10229526
Britt WEERMAN,NED,W,Women's High Jump,Qualified by World Rankings,10229526
Elisabeth PIHELA,EST,W,Women's High Jump,Qualified by World Rankings,10229526
Jenna ROGERS,USA,W,Women's High Jump,Qualified by World Rankings,10229526
Hellen TENORIO,COL,W,Women's High Jump,Qualified as Area Champion,10229526
Nina KENNEDY,AUS,W,Women's Pole Vault,Qualified by Wild Card,10229527
Katie MOON,USA,W,Women's Pole Vault,Qualified by Wild Card,10229527
Amanda MOLL,USA,W,Women's Pole Vault,Qualified by Entry Standard,10229527
Alysha NEWMAN,CAN,W,Women's Pole Vault,Qualified by Entry Standard,10229527
Molly CAUDERY,GBR,W,Women's Pole Vault,Qualified by Entry Standard,10229527
Sandi MORRIS,USA,W,Women's Pole Vault,Qualified by Entry Standard,10229527
Hana MOLL,USA,W,Women's Pole Vault,Qualified by Entry Standard,10229527
Angelica MOSER,SUI,W,Women's Pole Vault,Qualified by Entry Standard,10229527
Amálie ŠVÁBÍKOVÁ,CZE,W,Women's Pole Vault,Qualified by Entry Standard,10229527
Juliana DE MENIS CAMPOS,BRA,W,Women's Pole Vault,Qualified by Entry Standard,10229527
Tina ŠUTEJ,SLO,W,Women's Pole Vault,Qualified by Entry Standard,10229527
Marie-Julie BONNIN,FRA,W,Women's Pole Vault,Qualified by Entry Standard,10229527
Brynn KING,USA,W,Women's Pole Vault,Qualified by Entry Standard,10229527
Emily GROVE,USA,W,Women's Pole Vault,Qualified by Entry Standard,10229527
Olivia MCTAGGART,NZL,W,Women's Pole Vault,Qualified by Entry Standard,10229527
Lene Onsrud RETZIUS,NOR,W,Women's Pole Vault,Qualified by Entry Standard,10229527
Elien VEKEMANS,BEL,W,Women's Pole Vault,Qualified by Entry Standard,10229527
Roberta BRUNI,ITA,W,Women's Pole Vault,Qualified by World Rankings,10229527
Gabriela LEON,USA,W,Women's Pole Vault,Qualified by World Rankings,10229527
Elisa MOLINAROLO,ITA,W,Women's Pole Vault,Qualified by World Rankings,10229527
Imogen AYRIS,NZL,W,Women's Pole Vault,Qualified by World Rankings,10229527
Eliza MCCARTNEY,NZL,W,Women's Pole Vault,Qualified by World Rankings,10229527
Aikaterini STEFANIDI,GRE,W,Women's Pole Vault,Qualified by World Rankings,10229527
Elina LAMPELA,FIN,W,Women's Pole Vault,Qualified by World Rankings,10229527
Hanga KLEKNER,HUN,W,Women's Pole Vault,Qualified by World Rankings,10229527
Wilma MURTO,FIN,W,Women's Pole Vault,Qualified by World Rankings,10229527
Chunge NIU,CHN,W,Women's Pole Vault,Qualified by World Rankings,10229527
Chloe TIMBERG,USA,W,Women's Pole Vault,Qualified by World Rankings,10229527
Lea BACHMANN,SUI,W,Women's Pole Vault,Qualified by World Rankings,10229527
Kitty Friele FAYE,NOR,W,Women's Pole Vault,Qualified by World Rankings,10229527
Pascale STÖCKLIN,SUI,W,Women's Pole Vault,Qualified by World Rankings,10229527
Ariadni ADAMOPOULOU,GRE,W,Women's Pole Vault,Qualified by World Rankings,10229527
Marleen MÜLLA,EST,W,Women's Pole Vault,Qualified by World Rankings,10229527
Saga ANDERSSON,FIN,W,Women's Pole Vault,Qualified by World Rankings,10229527
Berenice PETIT,FRA,W,Women's Pole Vault,Qualified by World Rankings,10229527
Holly BRADSHAW,GBR,W,Women's Pole Vault,Qualified by World Rankings,10229527
Kristen LELAND,USA,W,Women's Pole Vault,Qualified by World Rankings,10229527
Maryna KYLYPKO,UKR,W,Women's Pole Vault,Qualified by World Rankings,10229527
Jennifer ELIZAROV,CAN,W,Women's Pole Vault,Qualified by World Rankings,10229527
Molly HAYWOOD,USA,W,Women's Pole Vault,Qualified by World Rankings,10229527
Alix DEHAYNAIN,FRA,W,Women's Pole Vault,Qualified by World Rankings,10229527
Olivia LUEKING,USA,W,Women's Pole Vault,Qualified by World Rankings,10229527
Miré REINSTORF,RSA,W,Women's Pole Vault,Qualified as Area Champion,10229527
Ivana ŠPANOVIĆ,SRB,W,Women's Long Jump,Qualified by Wild Card,10229528
Tara DAVIS-WOODHALL,USA,W,Women's Long Jump,Qualified by Entry Standard,10229528
Malaika MIHAMBO,GER,W,Women's Long Jump,Qualified by Entry Standard,10229528
Larissa IAPICHINO,ITA,W,Women's Long Jump,Qualified by Entry Standard,10229528
Lex BROWN,USA,W,Women's Long Jump,Qualified by Entry Standard,10229528
Hilary KPATCHA,FRA,W,Women's Long Jump,Qualified by Entry Standard,10229528
Anthaya CHARLTON,BAH,W,Women's Long Jump,Qualified by Entry Standard,10229528
Jasmine MOORE,USA,W,Women's Long Jump,Qualified by Entry Standard,10229528
Claire BRYANT,USA,W,Women's Long Jump,Qualified by Entry Standard,10229528
Tacoria HUMPHREY,USA,W,Women's Long Jump,Qualified by Entry Standard,10229528
Natalia LINARES,COL,W,Women's Long Jump,Qualified by Entry Standard,10229528
Pauline HONDEMA,NED,W,Women's Long Jump,Qualified by Entry Standard,10229528
Annik KÄLIN,SUI,W,Women's Long Jump,Qualified by Entry Standard,10229528
Quanesha BURKS,USA,W,Women's Long Jump,Qualified by Entry Standard,10229528
Alyssa JONES,USA,W,Women's Long Jump,Qualified by Entry Standard,10229528
Jazmin SAWYERS,GBR,W,Women's Long Jump,Qualified by Entry Standard,10229528
Monae' NICHOLS,USA,W,Women's Long Jump,Qualified by Entry Standard,10229528
Ese BRUME,NGR,W,Women's Long Jump,Qualified by World Rankings,10229528
Alina ROTARU-KOTTMANN,ROU,W,Women's Long Jump,Qualified by World Rankings,10229528
Ackelia SMITH,JAM,W,Women's Long Jump,Qualified by World Rankings,10229528
Agate DE SOUSA,POR,W,Women's Long Jump,Qualified by World Rankings,10229528
Fátima DIAME,ESP,W,Women's Long Jump,Qualified by World Rankings,10229528
Marthe KOALA,BUR,W,Women's Long Jump,Qualified by World Rankings,10229528
Plamena MITKOVA,BUL,W,Women's Long Jump,Qualified by World Rankings,10229528
Mikaelle ASSANI,GER,W,Women's Long Jump,Qualified by World Rankings,10229528
Milica GARDAŠEVIĆ,SRB,W,Women's Long Jump,Qualified by World Rankings,10229528
Alysbeth FELIX BOYER,PUR,W,Women's Long Jump,Qualified by World Rankings,10229528
Esraa OWIS,EGY,W,Women's Long Jump,Qualified by World Rankings,10229528
Maja ÅSKAG,SWE,W,Women's Long Jump,Qualified by World Rankings,10229528
Anna MATUSZEWICZ,POL,W,Women's Long Jump,Qualified by World Rankings,10229528
Tyra GITTENS,TTO,W,Women's Long Jump,Qualified by World Rankings,10229528
Chantel MALONE,IVB,W,Women's Long Jump,Qualified by World Rankings,10229528
Lissandra Maysa CAMPOS,BRA,W,Women's Long Jump,Qualified by World Rankings,10229528
Shiqi XIONG,CHN,W,Women's Long Jump,Qualified by World Rankings,10229528
Prestina Oluchi OCHONOGOR,NGR,W,Women's Long Jump,Qualified by World Rankings,10229528
Irati MITXELENA,ESP,W,Women's Long Jump,Qualified by World Rankings,10229528
Khaddi SAGNIA,SWE,W,Women's Long Jump,Qualified by World Rankings,10229528
Danielle NOLTE,RSA,W,Women's Long Jump,Qualified by World Rankings,10229528
Filippa FOTOPOULOU,CYP,W,Women's Long Jump,Qualified by World Rankings,10229528
Nikola HOROWSKA,POL,W,Women's Long Jump,Qualified by World Rankings,10229528
Samantha DALE,AUS,W,Women's Long Jump,Qualified as Area Champion,10229528
Yulimar ROJAS,VEN,W,Women's Triple Jump,Qualified by Wild Card,10229529
Thea LAFOND,DMA,W,Women's Triple Jump,Qualified by Entry Standard,10229529
Leyanis PÉREZ HERNÁNDEZ,CUB,W,Women's Triple Jump,Qualified by Entry Standard,10229529
Shanieka RICKETTS,JAM,W,Women's Triple Jump,Qualified by Entry Standard,10229529
Liadagmis POVEA,CUB,W,Women's Triple Jump,Qualified by Entry Standard,10229529
Davisleydi VELAZCO,CUB,W,Women's Triple Jump,Qualified by Entry Standard,10229529
Jasmine MOORE,USA,W,Women's Triple Jump,Qualified by Entry Standard,10229529
Ana PELETEIRO-COMPAORÉ,ESP,W,Women's Triple Jump,Qualified by Entry Standard,10229529
Ackelia SMITH,JAM,W,Women's Triple Jump,Qualified by World Rankings,10229529
Neja FILIPIČ,SLO,W,Women's Triple Jump,Qualified by World Rankings,10229529
Dariya DERKACH,ITA,W,Women's Triple Jump,Qualified by World Rankings,10229529
Ilionis GUILLAUME,FRA,W,Women's Triple Jump,Qualified by World Rankings,10229529
Saly SARR,SEN,W,Women's Triple Jump,Qualified by World Rankings,10229529
Tuğba DANIŞMAZ,TUR,W,Women's Triple Jump,Qualified by World Rankings,10229529
Diana Ana Maria ION,ROU,W,Women's Triple Jump,Qualified by World Rankings,10229529
Maja ÅSKAG,SWE,W,Women's Triple Jump,Qualified by World Rankings,10229529
Elena Andreea TALOȘ,ROU,W,Women's Triple Jump,Qualified by World Rankings,10229529
Gabriela PETROVA,BUL,W,Women's Triple Jump,Qualified by World Rankings,10229529
Caroline JOYEUX,GER,W,Women's Triple Jump,Qualified by World Rankings,10229529
Sharifa DAVRONOVA,UZB,W,Women's Triple Jump,Qualified by World Rankings,10229529
Senni SALMINEN,FIN,W,Women's Triple Jump,Qualified by World Rankings,10229529
Ivana ŠPANOVIĆ,SRB,W,Women's Triple Jump,Qualified by World Rankings,10229529
Gabriele SANTOS,BRA,W,Women's Triple Jump,Qualified by World Rankings,10229529
Yi LI,CHN,W,Women's Triple Jump,Qualified by World Rankings,10229529
Regiclecia CANDIDO,BRA,W,Women's Triple Jump,Qualified by World Rankings,10229529
Maoko TAKASHIMA,JPN,W,Women's Triple Jump,Qualified by World Rankings,10229529
Anne-Suzanna FOSTHER-KATTA,CMR,W,Women's Triple Jump,Qualified by World Rankings,10229529
Ilona MASSON,BEL,W,Women's Triple Jump,Qualified by World Rankings,10229529
Jessie MADUKA,GER,W,Women's Triple Jump,Qualified by World Rankings,10229529
Desleigh OWUSU,AUS,W,Women's Triple Jump,Qualified by World Rankings,10229529
Oxana KORENEVA,GRE,W,Women's Triple Jump,Qualified by World Rankings,10229529
Olha KORSUN,UKR,W,Women's Triple Jump,Qualified by World Rankings,10229529
Linda SUCHÁ,CZE,W,Women's Triple Jump,Qualified by World Rankings,10229529
Dovilė KILTY,LTU,W,Women's Triple Jump,Qualified by World Rankings,10229529
Erika Giorgia Anoeta SARACENI,ITA,W,Women's Triple Jump,Qualified by World Rankings,10229529
Janne NIELSEN,DEN,W,Women's Triple Jump,Qualified by World Rankings,10229529
Chase JACKSON,USA,W,Women's Shot Put,Qualified by Wild Card,10229530
Jessica SCHILDER,NED,W,Women's Shot Put,Qualified by Entry Standard,10229530
Sarah MITTON,CAN,W,Women's Shot Put,Qualified by Entry Standard,10229530
Yemisi OGUNLEYE,GER,W,Women's Shot Put,Qualified by Entry Standard,10229530
Jaida ROSS,USA,W,Women's Shot Put,Qualified by Entry Standard,10229530
Maddison-Lee WESCHE,NZL,W,Women's Shot Put,Qualified by Entry Standard,10229530
Maggie EWEN,USA,W,Women's Shot Put,Qualified by Entry Standard,10229530
Lijiao GONG,CHN,W,Women's Shot Put,Qualified by Entry Standard,10229530
Fanny ROOS,SWE,W,Women's Shot Put,Qualified by Entry Standard,10229530
Mya LESNAR,USA,W,Women's Shot Put,Qualified by Entry Standard,10229530
Jessica RAMSEY,USA,W,Women's Shot Put,Qualified by Entry Standard,10229530
Keayla DOVE,USA,W,Women's Shot Put,Qualified by Entry Standard,10229530
Jiayuan SONG,CHN,W,Women's Shot Put,Qualified by Entry Standard,10229530
Axelina JOHANSSON,SWE,W,Women's Shot Put,Qualified by Entry Standard,10229530
Danniel THOMAS-DODD,JAM,W,Women's Shot Put,Qualified by Entry Standard,10229530
Linru ZHANG,CHN,W,Women's Shot Put,Qualified by Entry Standard,10229530
Auriol DONGMO,POR,W,Women's Shot Put,Qualified by Entry Standard,10229530
Katharina MAISCH,GER,W,Women's Shot Put,Qualified by Entry Standard,10229530
Jessica INCHUDE,POR,W,Women's Shot Put,Qualified by Entry Standard,10229530
Jessica WOODARD,USA,W,Women's Shot Put,Qualified by Entry Standard,10229530
Raven SAUNDERS,USA,W,Women's Shot Put,Qualified by Entry Standard,10229530
Abby MOORE,USA,W,Women's Shot Put,Qualified by Entry Standard,10229530
Akaoma ODELUGA,USA,W,Women's Shot Put,Qualified by Entry Standard,10229530
Abria SMITH,USA,W,Women's Shot Put,Qualified by Entry Standard,10229530
Nina Chioma NDUBUISI,GER,W,Women's Shot Put,Qualified by Entry Standard,10229530
Alina KENZEL,GER,W,Women's Shot Put,Qualified by Entry Standard,10229530
Jorinde VAN KLINKEN,NED,W,Women's Shot Put,Qualified by Entry Standard,10229530
Yue MA,CHN,W,Women's Shot Put,Qualified by Entry Standard,10229530
Eliana BANDEIRA,POR,W,Women's Shot Put,Qualified by World Rankings,10229530
Sara LENNMAN,SWE,W,Women's Shot Put,Qualified by World Rankings,10229530
Lloydricia CAMERON,JAM,W,Women's Shot Put,Qualified by World Rankings,10229530
María Belén TOIMIL,ESP,W,Women's Shot Put,Qualified by World Rankings,10229530
Ivana Xennia GALLARDO,CHI,W,Women's Shot Put,Qualified by World Rankings,10229530
Ashley ERASMUS,RSA,W,Women's Shot Put,Qualified by World Rankings,10229530
Emilia KANGAS,FIN,W,Women's Shot Put,Qualified by World Rankings,10229530
Miné DE KLERK,RSA,W,Women's Shot Put,Qualified by World Rankings,10229530
Julia RITTER,GER,W,Women's Shot Put,Qualified by World Rankings,10229530
Jayden ULRICH,USA,W,Women's Shot Put,Qualified by World Rankings,10229530
Dianelis DELÍS,CUB,W,Women's Shot Put,Qualified by World Rankings,10229530
Ching-Yuan CHIANG,TPE,W,Women's Shot Put,Qualified by World Rankings,10229530
Colette UYS,RSA,W,Women's Shot Put,Qualified by World Rankings,10229530
Yue SUN,CHN,W,Women's Shot Put,Qualified by World Rankings,10229530
Eveliina ROUVALI,FIN,W,Women's Shot Put,Qualified by World Rankings,10229530
Mye'Joi WILLIAMS,USA,W,Women's Shot Put,Qualified by World Rankings,10229530
Erna Sóley GUNNARSDÓTTIR,ISL,W,Women's Shot Put,Qualified by World Rankings,10229530
Klaudia KARDASZ,POL,W,Women's Shot Put,Qualified by World Rankings,10229530
Senja MÄKITÖRMÄ,FIN,W,Women's Shot Put,Qualified by World Rankings,10229530
Ana Caroline SILVA,BRA,W,Women's Shot Put,Qualified by World Rankings,10229530
Yue JIANG,CHN,W,Women's Shot Put,Qualified by World Rankings,10229530
Malika NASRIDDINOVA,UZB,W,Women's Shot Put,Qualified by World Rankings,10229530
Laulauga TAUSAGA,USA,W,Women's Discus Throw,Qualified by Wild Card,10229531
Valarie ALLMAN,USA,W,Women's Discus Throw,Qualified by Entry Standard,10229531
Jayden ULRICH,USA,W,Women's Discus Throw,Qualified by Entry Standard,10229531
Sandra ELKASEVIĆ,CRO,W,Women's Discus Throw,Qualified by Entry Standard,10229531
Veronica FRALEY,USA,W,Women's Discus Throw,Qualified by Entry Standard,10229531
Gabi JACOBS,USA,W,Women's Discus Throw,Qualified by Entry Standard,10229531
Yaimé PÉREZ,CUB,W,Women's Discus Throw,Qualified by Entry Standard,10229531
Shanice CRAFT,GER,W,Women's Discus Throw,Qualified by Entry Standard,10229531
Cierra JACKSON,USA,W,Women's Discus Throw,Qualified by Entry Standard,10229531
Kristin PUDENZ,GER,W,Women's Discus Throw,Qualified by Entry Standard,10229531
Bin FENG,CHN,W,Women's Discus Throw,Qualified by Entry Standard,10229531
Erika BEISTLE,USA,W,Women's Discus Throw,Qualified by Entry Standard,10229531
Jorinde VAN KLINKEN,NED,W,Women's Discus Throw,Qualified by Entry Standard,10229531
Silinda MORÁLES,CUB,W,Women's Discus Throw,Qualified by Entry Standard,10229531
Vanessa KAMGA,SWE,W,Women's Discus Throw,Qualified by Entry Standard,10229531
Marike STEINACKER,GER,W,Women's Discus Throw,Qualified by Entry Standard,10229531
Alida VAN DAALEN,NED,W,Women's Discus Throw,Qualified by Entry Standard,10229531
Liliana CÁ,POR,W,Women's Discus Throw,Qualified by Entry Standard,10229531
Samantha HALL,JAM,W,Women's Discus Throw,Qualified by Entry Standard,10229531
Claudine VITA,GER,W,Women's Discus Throw,Qualified by Entry Standard,10229531
Daisy OSAKUE,ITA,W,Women's Discus Throw,Qualified by World Rankings,10229531
Melina ROBERT-MICHON,FRA,W,Women's Discus Throw,Qualified by World Rankings,10229531
Izabela DA SILVA,BRA,W,Women's Discus Throw,Qualified by World Rankings,10229531
Irina RODRIGUES,POR,W,Women's Discus Throw,Qualified by World Rankings,10229531
Alexandra EMILIANOV,MDA,W,Women's Discus Throw,Qualified by World Rankings,10229531
Marija TOLJ,CRO,W,Women's Discus Throw,Qualified by World Rankings,10229531
Chioma ONYEKWERE-LYONS,NGR,W,Women's Discus Throw,Qualified by World Rankings,10229531
Andressa DE MORAIS,BRA,W,Women's Discus Throw,Qualified by World Rankings,10229531
Denia CABALLERO,CUB,W,Women's Discus Throw,Qualified by World Rankings,10229531
Shelby FRANK,USA,W,Women's Discus Throw,Qualified by World Rankings,10229531
Taryn GOLLSHEWSKY,AUS,W,Women's Discus Throw,Qualified by World Rankings,10229531
Daria ZABAWSKA,POL,W,Women's Discus Throw,Qualified by World Rankings,10229531
Amanda NGANDU-NTUMBA,FRA,W,Women's Discus Throw,Qualified by World Rankings,10229531
Caisa-Marie LINDFORS,SWE,W,Women's Discus Throw,Qualified by World Rankings,10229531
Elena BRUCKNER,USA,W,Women's Discus Throw,Qualified by World Rankings,10229531
Julia TUNKS,CAN,W,Women's Discus Throw,Qualified by World Rankings,10229531
Obiageri Pamela AMAECHI,NGR,W,Women's Discus Throw,Qualified by World Rankings,10229531
Ieva GUMBS,LTU,W,Women's Discus Throw,Qualified by World Rankings,10229531
Antonia KINZEL,GER,W,Women's Discus Throw,Qualified by World Rankings,10229531
Lisa Brix PEDERSEN,DEN,W,Women's Discus Throw,Qualified by World Rankings,10229531
Özlem BECEREK,TUR,W,Women's Discus Throw,Qualified by World Rankings,10229531
Melany del Pilar MATHEUS,CUB,W,Women's Discus Throw,Qualified by World Rankings,10229531
Nora MONIE,CMR,W,Women's Discus Throw,Qualified by World Rankings,10229531
Zhichao JIANG,CHN,W,Women's Discus Throw,Qualified by World Rankings,10229531
Camryn ROGERS,CAN,W,Women's Hammer Throw,Qualified by Wild Card,10229532
Brooke ANDERSEN,USA,W,Women's Hammer Throw,Qualified by Wild Card,10229532
Rachel RICHESON,USA,W,Women's Hammer Throw,Qualified by Entry Standard,10229532
DeAnna PRICE,USA,W,Women's Hammer Throw,Qualified by Entry Standard,10229532
Jiale ZHANG,CHN,W,Women's Hammer Throw,Qualified by Entry Standard,10229532
Krista TERVO,FIN,W,Women's Hammer Throw,Qualified by Entry Standard,10229532
Silja KOSONEN,FIN,W,Women's Hammer Throw,Qualified by Entry Standard,10229532
Jie ZHAO,CHN,W,Women's Hammer Throw,Qualified by Entry Standard,10229532
Janee' KASSANAVOID,USA,W,Women's Hammer Throw,Qualified by Entry Standard,10229532
Annette Nneka ECHIKUNWOKE,USA,W,Women's Hammer Throw,Qualified by Entry Standard,10229532
Anita WŁODARCZYK,POL,W,Women's Hammer Throw,Qualified by Entry Standard,10229532
Jinyao GAO,CHN,W,Women's Hammer Throw,Qualified by Entry Standard,10229532
Katrine Koch JACOBSEN,DEN,W,Women's Hammer Throw,Qualified by Entry Standard,10229532
